Consecutivo de la fila;Nombre de la serie;Consecutivo de la  subserie;Nombre de la subserie;Fecha de inicio;Fecha de finalización;Años en archivo de gestión;Años en archivo central;Disposición final;Soporte;Procedimiento;
1;ACCIONES CONSTITUCIONALES;1;Acciones de cumplimiento;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se transfiere al Archivo Central 2 años después de emitido del fallo y conservar en el Archivo Central 18 años. Cumplido el tiempo de retención seleccionar para la conservación total los fallos por cada proceso, son documentos que aportan valores secundarios a la universidad y sirven como antecedente judicial.  ;1
2;ACCIONES CONSTITUCIONALES;2;Acciones de tutela;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Una vez terminado el tiempo de retencón se debe eliminar conforme a lo establecido en las prescripciones de orden penal que se determinan en la Ley 599 del 2000 Codigo Penal Colombiano;2
3;ACCIONES CONSTITUCIONALES;3;Acciones populares;2018-11-29;2050-12-26;2;18;SELECCION;PAPEL;Se transfiere al Archivo Central 2 años después de emitido del fallo y conservar en el Archivo Central 18 años. Cumplido el tiempo de retención seleccionar para la conservación total los fallos por cada proceso, son documentos que aportan valores secundarios a la universidad y sirven como antecedente judicial.  ;3
4;ACTAS;1;Actas aclaratorias a la radicación;2018-11-29;2050-12-26;2;8;SELECCION;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja la transparencia en la actuación administrativa entorno al cumplimiento de los señalado en el Acuerdo 060 de 2001 – AGN.;4
5;ACTAS;2;Actas comisión de personal;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la entidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;5
6;ACTAS;3;Actas comité central de autoevaluación;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;6
7;ACTAS;4;Actas comité central de currículo;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;7
8;ACTAS;5;Actas comité central de investigaciones;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN;8
9;ACTAS;6;Actas comité curricular;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;9
10;ACTAS;7;Actas comité de admisiones;2018-11-29;2050-12-26;2;8;CONSERVACION TOTAL;PAPEL;Se conservan 2 años en el Archivo de Gestión y 8 años en el Archivo Central. Esta subserie refleja las actuaciones administrativas de la universidad y las decisiones que se tomen al interior de la misma. Son documentos que adquieren valor administrativo, legal, jurídico e histórico desde el momento de su creación. Su conservación total se regula en la Circular 003 de 2015 AGN.;10
